Company,Role / Position,Company Type,Funding / Stage,Tech Stack Match,Job URL / Careers Page,Application Status,Date Applied,Source / Platform,LinkedIn Company Page,HR / Recruiter Outreach Title,Suggested Outreach Channel,Follow-Up Date,Last Follow-Up,Response Received,Interview Stage,Interview Date,Notes,Salary Range (Monthly INR),Salary Range (LPA),Location,Work Mode,Priority,Cold Message Template ID
Hevo Data,Software Engineer (Backend / Data Pipelines),Product-Based (Data Integration),Series B ($30M+),★★★★☆ Node.js PostgreSQL Docker,https://hevodata.com/careers/,Not Applied,,Careers Page / LinkedIn,https://www.linkedin.com/company/haborevo-data/,People & Culture / Recruiter,LinkedIn + Careers Page,,,,,,Data pipeline SaaS. Hiring 2026 grads. Node.js + PostgreSQL matches your stack.,₹35K-₹50K,5-7 LPA,Bangalore / Remote,Hybrid,★★★★☆ HIGH,MSG-1
Groww,Software Engineer (Backend),Product-Based (Fintech / Investment),Series E ($3B valuation),★★★★☆ Go Microservices High Concurrency,https://groww.in/careers,Not Applied,,Careers Page / LinkedIn,https://www.linkedin.com/company/groww/,Technical Recruiter,LinkedIn + Careers Page,,,,,,Investment platform. Highly competitive but your high-concurrency backend experience is relevant. DSA-heavy.,₹50K-₹75K,7-10 LPA,Bangalore,Hybrid,★★★★☆ HIGH,MSG-3
Locus.sh,SDE (Backend / DevOps),Product-Based (Logistics Tech),Series C ($50M+),★★★★☆ Go Node.js Microservices Docker,https://locus.sh/careers,Not Applied,,Careers Page / Email: careers@locus.sh,https://www.linkedin.com/company/locus-sh/,Engineering Manager / Recruiter,LinkedIn + Email,,,,,,Logistics optimization. Your GPS dispatch + route optimization Go experience is a PERFECT fit.,₹40K-₹60K,5-8 LPA,Bangalore,Hybrid,★★★★☆ HIGH,MSG-3
Wingify (VWO),Backend Engineer,Product-Based (A/B Testing / Analytics),Profitable (Bootstrapped),★★★★☆ Node.js Backend Big Data,https://wingify.com/careers/,Not Applied,,Careers Page / Uplers,https://www.linkedin.com/company/wingify/,HR / People Operations,LinkedIn + Careers Page,,,,,,Profitable product company. No VC pressure. Strong engineering culture. Delhi NCR based.,₹35K-₹55K,5-7 LPA,Delhi NCR,Hybrid,★★★★☆ HIGH,MSG-2
LeadSquared,Software Engineer (Backend),Product-Based (SaaS CRM),Series B ($153M),★★★★★ CRM Backend APIs Node.js,https://www.leadsquared.com/careers/,Not Applied,,Careers Page / LinkedIn,https://www.linkedin.com/company/leadsquared/,Technical Recruiter / HR,LinkedIn + Careers Page,,,,,,CRM product — your ProductCRM experience is directly transferable. Highlight multi-tenant architecture work.,₹35K-₹50K,5-7 LPA,Bangalore / Hyderabad,Hybrid,★★★★☆ HIGH,MSG-2
Fynd,Backend Engineer (Node.js / TypeScript),Product-Based (E-commerce / Retail Tech),Reliance-backed,★★★★★ Node.js TypeScript AWS Microservices,https://fynd.keka.com/careers/,Not Applied,,Careers Page / Instahyre,https://www.linkedin.com/company/fynd/,Talent Acquisition / HR,LinkedIn + Careers Page,,,,,,Reliance-backed retail tech. Node.js + TypeScript + AWS + microservices — exact stack match.,₹35K-₹55K,5-7 LPA,Mumbai,Hybrid,★★★★☆ HIGH,MSG-1
Shiprocket,Backend Developer (Node.js),Product-Based (Logistics / E-commerce),Series E ($200M+),★★★★☆ Node.js Express PostgreSQL,https://www.shiprocket.in/careers/,Not Applied,,Careers Page / Instahyre,https://www.linkedin.com/company/shiprocket/,Technical Recruiter,LinkedIn + Careers Page,,,,,,E-commerce logistics platform. Node.js backend. High scale operations relevant to your ride-hailing experience.,₹35K-₹50K,5-7 LPA,Delhi NCR / Gurgaon,Hybrid,★★★★☆ HIGH,MSG-1
Capillary Technologies,Node.js Full Stack / Backend Engineer,Product-Based (Retail AI / CRM),Series C,★★★★☆ Node.js Microservices REST APIs,https://www.capillarytech.com/careers/,Not Applied,,Careers Page / Instahyre,https://www.linkedin.com/company/capillary-technologies/,People Team / Recruiter,LinkedIn + Careers Page,,,,,,Retail CRM + AI. Your CRM experience + Node.js microservices background is a strong fit.,₹35K-₹50K,5-7 LPA,Bangalore / Chennai,Hybrid,★★★★☆ HIGH,MSG-2
Zetwerk,Backend Developer (Node.js / TypeScript),Product-Based (B2B Manufacturing),Series F ($150M+),★★★★☆ Node.js TypeScript JavaScript,https://www.zetwerk.com/careers/,Not Applied,,Careers Page / Instahyre,https://www.linkedin.com/company/zetwerk/,Technical Recruiter / HR,LinkedIn + Careers Page,,,,,,B2B manufacturing marketplace. High scale operations. Internship-to-FTE pipeline exists.,₹35K-₹50K,5-7 LPA,Bangalore / Mumbai,Hybrid,★★★★☆ HIGH,MSG-1
MoEngage,Backend Engineer (Scalable Services),Product-Based (MarTech / Engagement),Series E,★★★☆☆ Java-heavy but Backend Scale,https://www.moengage.com/careers/,Not Applied,,Careers Page / LinkedIn,https://www.linkedin.com/company/moengage/,Talent Acquisition,LinkedIn + Careers Page,,,,,,Primarily Java/Spring but values distributed systems knowledge. Your microservices architecture experience is relevant.,₹40K-₹55K,5-7 LPA,Bangalore,Hybrid,★★★☆☆ MEDIUM,MSG-2
Rocketlane,Backend Engineer (SaaS),Product-Based (Customer Onboarding SaaS),Series B,★★★☆☆ Java/Spring but SaaS focus,https://rocketlane.freshteam.com/jobs,Not Applied,,Careers Page / Instahyre,https://www.linkedin.com/company/rocketlane/,People Team / Recruiter,LinkedIn + Careers Page,,,,,,Customer onboarding SaaS — parallels your ProductCRM lead conversion pipeline work. Java-heavy though.,₹35K-₹50K,5-7 LPA,Chennai,Hybrid,★★★☆☆ MEDIUM,MSG-2
NoBroker,Backend Developer,Product-Based (PropTech),Series E ($210M+),★★★☆☆ Java-heavy but Large Scale,https://www.nobroker.in/careers,Not Applied,,Careers Page / LinkedIn,https://www.linkedin.com/company/nobroker/,HR / Technical Recruiter,LinkedIn + Careers Page,,,,,,PropTech unicorn. Primarily Java/Spring but might have Node.js teams. Verify stack before applying.,₹35K-₹50K,5-7 LPA,Bangalore,Hybrid,★★★☆☆ MEDIUM,MSG-1
Mindtickle,Software Engineer,Product-Based (Revenue Enablement),Series E ($100M+),★★★★☆ Node.js Backend Microservices,https://www.mindtickle.com/careers/,Not Applied,,Careers Page / LinkedIn,https://www.linkedin.com/company/mindtickle/,Talent Acquisition,LinkedIn + Careers Page,,,,,,Revenue enablement platform. Uses Node.js in their stack. Pune/Bangalore offices.,₹35K-₹55K,5-7 LPA,Pune / Bangalore,Hybrid,★★★☆☆ MEDIUM,MSG-2
BrowserStack,Software Development Engineer,Product-Based (Developer Tools / Testing),Profitable ($4B+ valuation),★★★☆☆ Backend Systems Testing Infra,https://www.browserstack.com/careers,Not Applied,,Careers Page / LinkedIn,https://www.linkedin.com/company/browserstack/,Technical Recruiter,LinkedIn + Careers Page,,,,,,Developer tools. Profitable product company. Strong engineering culture. DSA-focused interviews.,₹50K-₹75K,7-10 LPA,Mumbai / Remote,Hybrid,★★★☆☆ MEDIUM,MSG-2
Sarvam AI,Backend Engineer (AI Infrastructure),Product-Based (AI / LLM),Series A ($50M+),★★★★☆ Go Python AI Infra Backend,https://sarvam.ai/careers,Not Applied,,Careers Page / LinkedIn,https://www.linkedin.com/company/sarvam-ai/,Engineering Recruiter,LinkedIn + Careers Page,,,,,,India's leading AI company. 60+ openings. Your MCP/AI Copilot experience could be uniquely relevant.,₹45K-₹70K,6-9 LPA,Bangalore,Hybrid,★★★★☆ HIGH,MSG-3
Zoho,Software Developer (Backend),Product-Based (SaaS / Enterprise),Profitable (Bootstrapped $1B+ revenue),★★★★☆ Multi-stack Backend Databases,https://careers.zohocorp.com/,Not Applied,,Careers Page / Off-campus Drives,https://www.linkedin.com/company/zoho/,Campus Recruitment / HR,LinkedIn + Careers Page,,,,,,Massive SaaS ecosystem. Chennai-based. Unique interview process (often no DSA). Off-campus drives for freshers.,₹30K-₹45K,4-6 LPA,Chennai / Coimbatore,On-site,★★★☆☆ MEDIUM,MSG-2
Dukaan,Software Engineer (Backend),Product-Based (E-commerce Enablement),Series A,★★★★☆ Node.js TypeScript Full Stack,https://mydukaan.io/careers,Not Applied,,Careers Page / Wellfound,https://www.linkedin.com/company/mydukaan/,Founder / Engineering Lead,LinkedIn + Careers Page,,,,,,E-commerce enablement. Lean team — you might work directly with founders. Strong TypeScript culture.,₹30K-₹45K,4-6 LPA,Bangalore,Hybrid,★★★☆☆ MEDIUM,MSG-1
Skit.ai,Software Engineer (AI / Backend),Product-Based (Voice AI),Series B,★★★☆☆ Python-heavy but Backend Systems,https://skit.ai/careers,Not Applied,,Careers Page / LinkedIn,https://www.linkedin.com/company/skit-ai/,People Operations / Recruiter,LinkedIn + Careers Page,,,,,,Voice AI platform. Primarily Python but your distributed systems experience could be valued.,₹35K-₹50K,5-7 LPA,Bangalore,Hybrid,★★★☆☆ MEDIUM,MSG-2
Cutshort (The Platform Itself),Software Engineer,Product-Based (HR Tech),Series A,★★★★★ Node.js TypeScript Full Stack,https://cutshort.io/company/cutshort-jobs,Not Applied,,Direct Application,https://www.linkedin.com/company/cutshort/,CTO / Engineering Lead,LinkedIn,,,,,,Meta-play: the job platform itself uses your exact stack. Small team = high impact.,₹30K-₹45K,4-6 LPA,Pune / Remote,Remote,★★★☆☆ MEDIUM,MSG-1
Instahyre (The Platform Itself),Software Engineer,Product-Based (HR Tech),Series A,★★★★☆ Backend Node.js,https://www.instahyre.com/careers/,Not Applied,,Direct Application,https://www.linkedin.com/company/instahyre/,HR / Engineering,LinkedIn,,,,,,Another meta-play. Smaller team but product company using modern stack.,₹30K-₹40K,4-5 LPA,Bangalore,Hybrid,★★★☆☆ MEDIUM,MSG-1
